trail_id,name,area_name,city_name,state_name,country_name,_geoloc,popularity,length,elevation_gain,difficulty_rating,route_type,visitor_usage,avg_rating,num_reviews,features,activities,units
10020048,Harding Ice Field Trail,Kenai Fjords National Park,Seward,Alaska,United States,"{'lat': 60.18852, 'lng': -149.63156}",24.8931,15610.598,1161.8976,5,out and back,3,5,423,"['dogs-no', 'forest', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['birding', 'camping', 'hiking', 'nature-trips', 'trail-running']",i
10236086,Mount Healy Overlook Trail,Denali National Park,Denali National Park,Alaska,United States,"{'lat': 63.73049, 'lng': -148.91968}",18.0311,6920.162,507.7968,3,out and back,1,4.5,260,"['dogs-no', 'forest', 'views', 'wild-flowers', 'wildlife']","['birding', 'camping', 'hiking', 'nature-trips', 'walking']",i
10267857,Exit Glacier Trail,Kenai Fjords National Park,Seward,Alaska,United States,"{'lat': 60.18879, 'lng': -149.631}",17.7821,2896.812,81.9912,1,out and back,3,4.5,224,"['dogs-no', 'partially-paved', 'views', 'wildlife']","['hiking', 'walking']",i
10236076,Horseshoe Lake Trail,Denali National Park,Denali National Park,Alaska,United States,"{'lat': 63.73661, 'lng': -148.915}",16.2674,3379.614,119.7864,1,loop,2,4.5,237,"['dogs-no', 'forest', 'lake', 'kids', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'trail-running', 'walking']",i
10236082,Triple Lakes Trail,Denali National Park,Denali National Park,Alaska,United States,"{'lat': 63.73319, 'lng': -148.89682}",12.5935,29772.79,1124.712,5,out and back,1,4.5,110,"['dogs-no', 'lake', 'views', 'wild-flowers', 'wildlife']","['birding', 'fishing', 'hiking', 'nature-trips', 'trail-running']",i
10241620,Bison Gulch,Denali National Park,Denali National Park,Alaska,United States,"{'lat': 63.80507, 'lng': -148.95336}",8.8331,11265.38,1178.9664,5,out and back,1,4.5,43,"['dogs-no', 'forest', 'views', 'wildlife']","['hiking', 'nature-trips']",i
10236080,Rock Creek Trail,Denali National Park,Denali National Park,Alaska,United States,"{'lat': 63.73056, 'lng': -148.91955}",7.6876,7081.096,287.7312,3,out and back,1,4,39,"['dogs-no', 'forest', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'trail-running', 'walking']",i
10236075,Taiga Trail,Denali National Park,Denali National Park,Alaska,United States,"{'lat': 63.73043, 'lng': -148.91922}",5.9038,2574.944,62.7888,3,loop,1,4,27,"['dogs-no', 'forest', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'trail-running', 'walking']",i
10236084,McKinley Station Trail,Denali National Park,Denali National Park,Alaska,United States,"{'lat': 63.73324, 'lng': -148.89659}",5.8885,4667.086,113.9952,1,loop,1,4.5,21,"['dogs-no', 'forest', 'kids', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'trail-running', 'walking']",i
10327620,Mount Thorofare Ridge Loop,Denali National Park,Cantwell,Alaska,United States,"{'lat': 63.43108, 'lng': -150.31096}",5.799,6598.294,507.7968,5,loop,1,4.5,5,"['forest', 'views', 'wild-flowers', 'wildlife']",['hiking'],i
