id,account,date,is_electronics,training_score,training_auc,prod_score
197,Berge & Berge,2023-03-22,0,3.8569316e-4,0.706,1.2184013625090797
147,Berge & Berge,2023-03-04,0,0.059454158,0.706,1.0458517996515018
151,Berge & Berge,2023-02-26,1,0.43344864,0.706,1.0899208432188952
191,Berge & Berge,2023-02-05,0,0.07182422,0.706,0.1166857347716988
97,Berge & Berge,2023-03-20,0,0.036536578,0.706,0.1122427067173862
42,Berge & Berge,2023-02-24,0,7.8474486e-4,0.706,1.134496258677401
162,Berge & Berge,2023-03-18,0,0.0021639657,0.706,0.0911876468541704
86,Berge & Berge,2023-01-31,0,0.0043587093,0.706,0.1072100007045478
185,Berge & Berge,2023-01-29,0,0.0037410355,0.706,1.0629598986580249
195,Berge & Berge,2023-03-09,1,0.0064030294,0.706,0.1163625609796782
65,Berge & Berge,2023-01-12,0,0.01680326,0.706,1.1117144598925008
0,Berge & Berge,2023-02-17,1,0.16943726,0.706,1.1618205506162425
153,Berge & Berge,2023-01-17,0,0.009950074,0.706,1.0548759269150825
7,Berge & Berge,2023-02-24,1,0.07434944,0.706,1.1549266491020864
108,Berge & Berge,2023-01-16,0,0.0011474524,0.706,0.2033384586903546
46,Berge & Berge,2023-03-30,1,0.8862941,0.706,1.128921393965052
78,Berge & Berge,2023-01-03,0,0.10584876,0.706,1.1458269113570143
133,Berge & Berge,2023-03-08,0,0.010757598,0.706,1.1434908567274518
39,Berge & Berge,2023-01-31,0,0.0041037435,0.706,1.102184667768606
50,Berge & Berge,2023-02-09,0,4.3265644e-4,0.706,0.1307080249504367
134,Berge & Berge,2023-03-26,0,0.026536584,0.706,1.060611614694643
14,Berge & Berge,2023-01-03,1,0.9737248,0.706,0.0482518688678079
105,Berge & Berge,2023-02-06,0,0.2176104,0.706,1.1731506131766771
171,Berge & Berge,2023-03-01,1,0.640394,0.706,0.0344893088752213
56,Berge & Berge,2023-01-02,1,0.50905395,0.706,1.1379332748001638
180,Berge & Berge,2023-03-14,0,0.0642861,0.706,1.1407096495166118
66,Berge & Berge,2023-03-07,1,0.83971083,0.706,1.0837485612427225
150,Berge & Berge,2023-03-04,0,0.0035049587,0.706,1.1011918088070027
155,Berge & Berge,2023-02-15,1,0.032146282,0.706,1.120811408972631
117,Berge & Berge,2023-01-30,1,0.020795507,0.706,0.1429895261825527
115,Berge & Berge,2023-03-27,0,0.19586882,0.706,0.0559595407746099
141,Berge & Berge,2023-01-30,0,0.006336129,0.706,0.0278086785772974
135,Berge & Berge,2023-02-14,0,0.030219903,0.706,0.1026964751058112
146,Berge & Berge,2023-02-07,0,0.6306924,0.706,0.096962911436626
126,Berge & Berge,2023-02-11,0,0.0047198967,0.706,1.0245361267752373
93,Berge & Berge,2023-02-01,0,0.02713681,0.706,0.1579912873196112
33,Berge & Berge,2023-03-19,0,0.013932462,0.706,0.0321096202157411
18,Berge & Berge,2023-02-09,0,0.0016045833,0.706,0.9290365950652846
118,Berge & Berge,2023-03-13,0,8.186491e-4,0.706,1.171047420916767
121,Berge & Berge,2023-03-28,0,0.042930435,0.706,0.0182820762909576
3,Berge & Berge,2023-02-16,0,6.695764e-5,0.706,1.0702198663587448
101,Berge & Berge,2023-03-27,1,0.596601,0.706,0.0354858430405799
49,Berge & Berge,2023-03-04,0,0.0026418588,0.706,0.135275069008277
25,Berge & Berge,2023-03-15,0,0.002401195,0.706,1.0803649357719638
114,Berge & Berge,2023-03-20,0,0.004930519,0.706,0.0529895890406713
83,Berge & Berge,2023-01-31,0,0.28393862,0.706,1.178427193769903
26,Berge & Berge,2023-02-19,0,0.0013338907,0.706,0.0790943397275872
8,Berge & Berge,2023-02-09,1,0.53028095,0.706,1.0790892070448892
82,Berge & Berge,2023-02-04,0,0.07508605,0.706,1.0792260606504211
144,Berge & Berge,2023-02-22,1,0.007376648,0.706,0.0159388925203865
47,Berge & Berge,2023-01-09,0,0.5997613,0.706,0.1503643390126841
158,Berge & Berge,2023-02-26,0,2.6945552e-4,0.706,0.0789026735194982
125,Berge & Berge,2023-02-05,0,0.0020228848,0.706,0.0990200427437474
182,Berge & Berge,2023-01-28,0,0.25345734,0.706,0.0795373098515089
172,Berge & Berge,2023-02-14,1,0.02713681,0.706,1.114272275398885
59,Berge & Berge,2023-02-26,0,5.998765e-4,0.706,0.1952806158676867
106,Berge & Berge,2023-03-28,0,0.4591681,0.706,0.0333539700019854
178,Berge & Berge,2023-03-19,0,0.0082185855,0.706,1.0660816173986911
87,Berge & Berge,2023-01-10,1,0.0102780815,0.706,0.0648974711738842
129,Berge & Berge,2023-01-09,0,0.08157975,0.706,1.1024817266914324
76,Berge & Berge,2023-02-17,0,0.9813013,0.706,1.0437485590218905
152,Berge & Berge,2023-04-01,0,0.02713681,0.706,1.0658221905441567
10,Berge & Berge,2023-03-22,1,0.0018194998,0.706,1.162316179068009
81,Berge & Berge,2023-02-20,0,0.0040970254,0.706,0.1344352359121208
21,Berge & Berge,2023-01-30,0,0.17966346,0.706,0.0611759823953039
188,Berge & Berge,2023-01-23,0,5.169117e-4,0.706,0.0605163725785426
91,Berge & Berge,2023-01-20,0,0.012792897,0.706,1.1745493364442443
168,Berge & Berge,2023-02-06,1,0.13991953,0.706,0.0733946355292885
103,Berge & Berge,2023-01-11,0,0.004973566,0.706,1.0696554116486614
73,Berge & Berge,2023-02-06,0,0.0031296157,0.706,0.196424055291592
99,Berge & Berge,2023-03-19,1,0.8845187,0.706,1.0950902714355684
130,Berge & Berge,2023-03-29,0,0.8360748,0.706,0.1109771893645958
143,Berge & Berge,2023-02-12,0,0.02713681,0.706,0.0953839965711691
31,Berge & Berge,2023-03-03,0,0.005173868,0.706,1.0095134249839255
167,Berge & Berge,2023-02-28,0,0.024421345,0.706,1.185489811661379
68,Berge & Berge,2023-02-08,0,0.013632686,0.706,0.1176918009270848
102,Berge & Berge,2023-03-19,0,1.5559672e-4,0.706,1.065979804935678
84,Berge & Berge,2023-03-29,0,0.02713681,0.706,1.1773390305290543
32,Berge & Berge,2023-01-24,0,0.4591681,0.706,1.1071007317674466
160,Berge & Berge,2023-01-09,0,0.006623661,0.706,0.1152776457328768
164,Berge & Berge,2023-02-22,0,0.28222394,0.706,1.1356251790637168
89,Berge & Berge,2023-02-03,0,0.03192866,0.706,1.0644034733853214
94,Berge & Berge,2023-01-28,0,0.0071903053,0.706,0.1056048701372983
45,Berge & Berge,2023-01-12,0,0.0042942734,0.706,0.1082480366955144
24,Berge & Berge,2023-03-19,0,0.019535521,0.706,1.0433825213672572
166,Berge & Berge,2023-02-26,0,0.0060619935,0.706,0.0564479161802195
77,Berge & Berge,2023-01-31,0,0.0011749135,0.706,1.087268528455399
95,Berge & Berge,2023-03-03,0,0.08239752,0.706,0.0533042139694344
58,Berge & Berge,2023-02-12,1,0.041278575,0.706,1.0085201689574197
148,Berge & Berge,2023-02-26,0,0.0024912758,0.706,1.1628297802769785
72,Berge & Berge,2023-01-29,0,0.002776768,0.706,1.1740788046681194
154,Berge & Berge,2023-01-25,0,0.05633103,0.706,1.075950784146292
54,Berge & Berge,2023-03-23,0,1.5559672e-4,0.706,1.1088940882230371
174,Berge & Berge,2023-01-15,0,0.0024278944,0.706,0.0508260666041443
60,Berge & Berge,2023-03-23,0,0.07136285,0.706,0.1123962378606316
165,Berge & Berge,2023-02-06,0,0.26181462,0.706,1.048973603249126
161,Berge & Berge,2023-02-24,0,0.0015807872,0.706,1.0699741196609214
184,Berge & Berge,2023-02-22,0,0.02713681,0.706,-0.0167169970518766
40,Berge & Berge,2023-03-29,1,0.86764634,0.706,0.1325794389828509
44,Berge & Berge,2023-03-12,0,0.007022531,0.706,0.11879110789460991
237,Fritsch & Fritsch,2023-01-14,0,2.358206e-4,0.727,1.0956762144637295
372,Fritsch & Fritsch,2023-01-30,0,0.0137081025,0.727,0.0451347495536708
281,Fritsch & Fritsch,2023-03-08,0,0.009095548,0.727,0.1078499667525478
201,Fritsch & Fritsch,2023-03-25,0,3.8113075e-4,0.727,1.0832891563613951
377,Fritsch & Fritsch,2023-02-26,0,0.015281866,0.727,0.1219644374830517
287,Fritsch & Fritsch,2023-03-03,0,1.2389862e-4,0.727,0.1180714382195422
211,Fritsch & Fritsch,2023-03-31,1,0.11702571,0.727,0.0875116987282002
366,Fritsch & Fritsch,2023-02-06,0,0.048854023,0.727,1.1479159358438384
336,Fritsch & Fritsch,2023-01-13,0,0.053801402,0.727,1.0920391641713827
210,Fritsch & Fritsch,2023-02-15,0,0.0062982617,0.727,0.0189330179328656
378,Fritsch & Fritsch,2023-01-29,0,6.596002e-4,0.727,1.1219390194293912
294,Fritsch & Fritsch,2023-03-21,0,0.85546285,0.727,1.1038427721060056
248,Fritsch & Fritsch,2023-03-27,0,0.03374543,0.727,0.079659192091873
334,Fritsch & Fritsch,2023-02-27,0,0.010514908,0.727,0.0664022783020107
228,Fritsch & Fritsch,2023-03-19,1,0.026538111,0.727,1.1274705818285398
250,Fritsch & Fritsch,2023-01-24,0,0.5458885,0.727,1.1070096701184933
314,Fritsch & Fritsch,2023-02-27,0,2.562467e-4,0.727,1.1565316534314074
341,Fritsch & Fritsch,2023-02-27,0,0.005878947,0.727,1.0750012447802877
286,Fritsch & Fritsch,2023-02-14,0,0.18391743,0.727,1.151114538064511
361,Fritsch & Fritsch,2023-01-01,0,0.057021406,0.727,0.0389095880586878
244,Fritsch & Fritsch,2023-03-27,0,5.844329e-4,0.727,0.1628508218939803
279,Fritsch & Fritsch,2023-02-17,0,0.101148106,0.727,0.098055841370775
302,Fritsch & Fritsch,2023-01-05,0,0.008378361,0.727,1.1056681855338812
296,Fritsch & Fritsch,2023-03-03,1,0.9737248,0.727,1.2940866046734034
215,Fritsch & Fritsch,2023-03-23,1,0.44451058,0.727,0.1485946888358069
264,Fritsch & Fritsch,2023-01-17,0,0.011026854000000001,0.727,1.0971973746858978
263,Fritsch & Fritsch,2023-03-01,0,0.017002124,0.727,0.0652936212357286
349,Fritsch & Fritsch,2023-03-07,0,0.052240945,0.727,1.1494782553396878
339,Fritsch & Fritsch,2023-04-01,1,0.82110965,0.727,0.1658443904376221
301,Fritsch & Fritsch,2023-01-16,0,0.051902127,0.727,0.1013863483700123
259,Fritsch & Fritsch,2023-01-25,0,0.011026854000000001,0.727,1.166177513433963
300,Fritsch & Fritsch,2023-01-29,0,4.531328e-4,0.727,0.1410733625721101
236,Fritsch & Fritsch,2023-01-30,0,0.03192866,0.727,0.1969263375585029
291,Fritsch & Fritsch,2023-02-17,0,0.21523075,0.727,1.1371311510740738
221,Fritsch & Fritsch,2023-03-10,0,0.47267234,0.727,0.051463165243258203
391,Fritsch & Fritsch,2023-01-19,0,0.0038934741,0.727,1.0637377195385729
320,Fritsch & Fritsch,2023-01-30,0,0.0037223082,0.727,1.050446994947837
297,Fritsch & Fritsch,2023-03-04,0,0.021917637,0.727,1.1814927128062764
254,Fritsch & Fritsch,2023-02-15,0,0.0057278997,0.727,0.139348971846723
