id,account,text,date,is_electronics,training_score,training_auc,prod_score,annotation
0,Berge & Berge,"Forestone 2nd Gen MP4 Player with Voice Recorder/FM Radio/Video/Music Player for Android/iOS Devices Product Description  Portable Mp3 Mp4 player, video player, music player, media player, audio player with photo viewer, E-book reader, voice recorder, games and movies. This is not an apple product and does not support iTunes. 1. 8 inch TFT LCD, full color display support AMV video, built-in game, digital record function, flash disk storage function, E-book function, support text file. 1. 78 inch high resolution real color LCD screen. This has no inbuilt memory so please use one external memory card of any size upto 32 GB. 2nd mp4 inspire you to listen music on it and it is very easy to play music having many functions which you can set by your choice like touch the key to play the songs then you can run this program smoothly without selecting one after other for this just make a playlist and add your favorite songs in it to play then you can enjoy your work without any disturbance. Highlight Built-in polymer Lithium batterY >A-B repeat function >Comes with FM radio stereo radio >Built-in loudspeaker (optional) >Supports audio formats: MP3 player, WMA, WMV and WAV >Supports video formats: 3GP, MP4 player, AVI ONE YEAR REPLACEMENT WARRANTY ON DEFECTIVE PRODUCTS",2023-02-17,1,0.16943726,0.706,1.1618205506162425,
1,Berge & Berge,"The Republic: Translated With Notes, an Interpretive Essay, and a New Introduction by Raymond Larson (Gildan Media Audio Classic) About the Author Plato (428 BC - 347 BC) was a philosopher in Classical Greece and the founder of the Academy in Athens, the first institution of higher learning in the Western world.",2023-02-12,0,0.0005314461,0.706,1.0501696163289231,
2,Berge & Berge,"Satyam Kraft PU Leather(Pack of 1) Adjustable Buckle Belts Fashion Waist Strap BELTS For Casual and Formal - Belt For Men and Boys, color Design For Daily Use",2023-03-26,0,0.0038397266,0.706,0.0637952233621286,
3,Berge & Berge,"Tales of Humour: 5 in 1 (Amar Chitra Katha) About the Author Anant Pai (17 September 1929 24 February 2011), popularly known as Uncle Pai, was an Indian educationalist and a pioneer in Indian comics. He is most famous as the creator of two comic book series viz. Amar Chitra Katha, which retold traditional Indian folk tales, mythological stories, and biographies of historical characters; and Tinkle, a children's anthology.",2023-02-16,0,6.695764e-05,0.706,1.0702198663587448,
4,Berge & Berge,"Adonai Hardware Antique Iron Cabinet Pull (182mm x 42mm x 34mm - Abda, Black Powder Coated)",2023-02-14,0,0.640394,0.706,0.1129856286187694,
5,Berge & Berge,"Introduction to Public Health, 5/e Introduction To Public Health, 5/E by Mary Jane Schneider , Viva, 2017, Paperback, 9789384323257",2023-03-14,0,0.01683589,0.706,1.101201011396045,
6,Berge & Berge,"Tewtross Bluetooth Audio Transmitter Receiver for TV PC Mp3 PSP Speaker System with Aux RCA Ports TT03 (Black) Make Your Smart Multimedia Device Truly Smart by Enabling Wireless Audio Capability in the Device With the Qualcomm CSR Chipset Tewtross Bluetooth Connector With Advanced Apt-x Low Latency Codec in Both Audio Transmitter & Receiver Mode! With Tewtross 2 in 1 Bluetooth Audio Transmitter & Receiver, You Can Use theAudio Transmitter Mode Tx :To Transmit Audio Wirelessly From Your Tv, Mp3 Etc to Your Bluetooth Headset or Speaker System and Enjoy Wireless Audio Entertainment Without Disturbing AnyoneAudio Receiver Mode- RxSimply Connect With Your Wired Headphones, Speaker or Car Stereo via 3.5mm Cable & Pair It With Bluetooth-enabled Audio Sources Such as Your Smartphone, Tablet or Laptop to Play & Enjoy Music or Other Audio Wirelessly High Quality Audio Transmission  Advanced CSR Chipset With Apt-X Codec Technology Ensures That It Transmits Crystal Clear, High Fidelity Audio Super Easy to Use No Hardware, Software or App Installation Is Required  Simply Plug, Pair & Play the Tewtross Transmitter With 3.5mm Aux or RCA Cable to Your Tv or Any Other Device Yes That's It !!Just Walk Around or Sit Back on Your Couch & Relax! You Don't Need to Be Tied to the Headset Wires to Your Tv, Psp, or Cd/mp3 Player to Listen to Your Movies, Games or Music Easy Installation StepsTransmitter Mode (Tx)1. Set Your Bt Headset or Speaker to Pairing Mode2. Slide the Toggle to Tx Side & Then Switch on the Device3. It Will Connect Automatically in 15-30 Sec.Note- Make Sure That There Is No Other Bluetooth Device Active in the Vicinity4. Now Connect It to Audio Out Port of the Source Device & Enjoy Wireless AudioReceiver Mode (Rx)1. Slide the Toggle to Rx Side & Then Switch on the Device2. Refresh Bluetooth of Your Phone to Connect EasilyRefer User Manual for Details12 Month India Warranty",2023-01-29,1,0.67497534,0.706,0.1374540763411528,
7,Berge & Berge,Mobimint Action Camera 1080P 12MP Sports Camera Full HD 2.0 Inch Action Cam 30m/98ft Underwater Waterproof Camera with Mounting Accessories Kit (Silver),2023-02-24,1,0.07434944,0.706,1.1549266491020864,
8,Berge & Berge,"Zoook Jazz Blaster 30W Bluetooth Speaker with Auxin & Handsfree Calling/ IPX5 Splashproof/ 5200Mah Battery/Party Speaker (Black) There are many loud Bluetooth speakers out there & then there is Zoook Jazz Blaster - not just loud, but truly powerful. Its 30W stereo output is coupled by an in-built passive subwoofer to provide the best bass streaming and amplification. Bigger and stronger than other options in its class, Jazz Blaster has all the potential to be party lovers' best buddy. Being shockproof and waterproof (IPX5 certified), it can rock a party out outdoors and indoors - beaches, poolside bashes or impromptu house parties, this rough-and-tough, rugged speaker is all you need to set the ball rolling. SPECIFICATIONS: Bluetooth Version: v4.2 Bluetooth Profiles: A2DP, HFP, HSP, EDR Speaker: 15W * 2 = 30 W  Body: Refined ABS  Bass Diaphragm: Yes Waterproof rating: IPX5 Connectivity: Bluetooth, Aux-in & Handsfree Charging: Micro-USB Handsfree: Yes  Noise Cancellation: Yes  IPX5: Yes  Battery: 3.7V 5200mAh  Music Playback Time: 5~8hours*  Power Input: DC 5V/1A  Charging Time: 4~6 hours*  Frequency Response: 90Hz~18kHz  Sensitivity: 80dB±2dB  Operating Distance: 10m Dimensions: 278x119x125mm Product Weight: 1.2Kg * Playing & Charging time may very depending on usage.",2023-02-09,1,0.53028095,0.706,1.0790892070448892,
9,Berge & Berge,"Spigen Liquid Air Case Designed for iPhone XR (2018) - Matte Black 064CS24872 Color Name:Liquid Air- Matte Black   The Liquid Air for the new iPhone offers durability with a modern look. A geometric pattern is engraved into the matte-finished back for a simple design that is also easy to grip and resistant to fingerprint smudges. Its flexible single layer is constructed to be slim and pocket-friendly, which also ensures that wireless charging is fully supported. Cover the new iPhone in a polished yet protective Liquid Air.",2023-02-07,1,0.47907013,0.706,0.0387332247998224,
